[2020-12-31T22:18:25-0500] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: ed7fed0a21; save: region3; SC_WORLD_UNLOADED; game type NONE (11)
[2020-12-31T22:18:46-0500] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: ed7fed0a21; save: region3; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2021-01-01T19:54:12-0500] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: ed7fed0a21; save: region3; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2021-01-01T21:59:33-0500] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: ed7fed0a21; save: region3; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2021-01-02T01:57:10-0500] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: ed7fed0a21; save: region3; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2021-01-02T01:57:10-0500] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: ed7fed0a21; save: region3; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2021-01-02T16:30:19-0500] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: ed7fed0a21; save: region3; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2021-01-02T16:30:19-0500] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: ed7fed0a21; save: region3; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2021-01-02T16:50:41-0500] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: ed7fed0a21; save: region3; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2021-01-02T16:50:41-0500] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: ed7fed0a21; save: region3; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2021-01-03T04:07:22-0500] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: ed7fed0a21; save: region3; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2021-01-03T04:07:23-0500] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: ed7fed0a21; save: region3; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2021-01-03T05:18:45-0500] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: ed7fed0a21; save: region3; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2021-01-03T05:18:45-0500] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: ed7fed0a21; save: region3; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2021-01-03T14:22:35-0500] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: ed7fed0a21; save: region3; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2021-01-03T14:22:36-0500] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: ed7fed0a21; save: region3; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2021-01-03T19:49:55-0500] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: ed7fed0a21; save: region3; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2021-01-03T19:49:55-0500] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: ed7fed0a21; save: region3; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2021-01-04T16:07:57-0500] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: ed7fed0a21; save: region3; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2021-01-04T16:07:58-0500] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: ed7fed0a21; save: region3; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2021-01-05T11:36:16-0500] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: ed7fed0a21; save: region3; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2021-01-05T11:36:17-0500] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: ed7fed0a21; save: region3; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2021-01-05T20:02:12-0500] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: ed7fed0a21; save: region3; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2021-01-05T20:02:12-0500] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: ed7fed0a21; save: region3; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2021-01-06T18:51:53-0500] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: ed7fed0a21; save: region3; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2021-01-06T18:51:54-0500] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: ed7fed0a21; save: region3; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2021-01-06T21:13:16-0500] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: ed7fed0a21; save: region3; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2021-01-06T21:13:16-0500] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: ed7fed0a21; save: region3; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2021-01-06T18:58:52-0800] DFHack 0.47.04-r4 on Linux; cwd md5: 22334ae0f9; save: lashstab; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2021-01-06T18:58:52-0800] DFHack 0.47.04-r4 on Linux; cwd md5: 22334ae0f9; save: lashstab; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2021-01-06T23:39:22-0800] DFHack 0.47.04-r4 on Linux; cwd md5: 22334ae0f9; save: lashstab; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2021-01-06T23:39:22-0800] DFHack 0.47.04-r4 on Linux; cwd md5: 22334ae0f9; save: lashstab; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2021-01-07T18:43:00-0500] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 0f11edb9a8; save: lashstab; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2021-01-07T18:43:00-0500] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 0f11edb9a8; save: lashstab; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2021-01-07T21:32:02-0500] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 0f11edb9a8; save: lashstab; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2021-01-07T21:32:02-0500] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 0f11edb9a8; save: lashstab; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2021-01-13T22:36:36-0500] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 0f11edb9a8; save: lashstab; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2021-01-13T22:36:36-0500] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 0f11edb9a8; save: lashstab; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2021-01-14T02:16:13-0500] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 0f11edb9a8; save: lashstab; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2021-01-14T02:16:13-0500] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 0f11edb9a8; save: lashstab; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2021-01-18T02:00:22-0800] DFHack 0.47.04-r4 on Linux; cwd md5: f0b03e5c00; save: lashstab; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2021-01-18T02:00:22-0800] DFHack 0.47.04-r4 on Linux; cwd md5: f0b03e5c00; save: lashstab; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2021-01-19T19:56:18-0800] DFHack 0.47.04-r4 on Linux; cwd md5: b3f3fd68ea; save: lashstab; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2021-01-19T19:56:18-0800] DFHack 0.47.04-r4 on Linux; cwd md5: b3f3fd68ea; save: lashstab; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2021-01-19T19:59:46-0800] DFHack 0.47.04-r4 on Linux; cwd md5: b3f3fd68ea; save: lashstab; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2021-01-19T19:59:46-0800] DFHack 0.47.04-r4 on Linux; cwd md5: b3f3fd68ea; save: lashstab; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2021-01-19T23:03:48-0800] DFHack 0.47.04-r4 on Linux; cwd md5: b3f3fd68ea; save: lashstab; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2021-01-19T23:03:48-0800] DFHack 0.47.04-r4 on Linux; cwd md5: b3f3fd68ea; save: lashstab; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2021-01-19T23:05:24-0800] DFHack 0.47.04-r4 on Linux; cwd md5: b3f3fd68ea; save: lashstab; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2021-01-19T23:05:24-0800] DFHack 0.47.04-r4 on Linux; cwd md5: b3f3fd68ea; save: lashstab; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2021-01-20T04:07:56-0800] DFHack 0.47.04-r4 on Linux; cwd md5: b3f3fd68ea; save: lashstab; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2021-01-20T04:07:56-0800] DFHack 0.47.04-r4 on Linux; cwd md5: b3f3fd68ea; save: lashstab; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2021-01-20T04:09:30-0800] DFHack 0.47.04-r4 on Linux; cwd md5: b3f3fd68ea; save: lashstab; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2021-01-20T04:09:30-0800] DFHack 0.47.04-r4 on Linux; cwd md5: b3f3fd68ea; save: lashstab; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2021-01-20T05:17:28-0800] DFHack 0.47.04-r4 on Linux; cwd md5: b3f3fd68ea; save: lashstab; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2021-01-20T05:17:28-0800] DFHack 0.47.04-r4 on Linux; cwd md5: b3f3fd68ea; save: lashstab; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2021-01-20T06:00:04-0800] DFHack 0.47.04-r4 on Linux; cwd md5: b3f3fd68ea; save: lashstab; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2021-01-20T06:00:04-0800] DFHack 0.47.04-r4 on Linux; cwd md5: b3f3fd68ea; save: lashstab; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2021-01-20T06:01:20-0800] DFHack 0.47.04-r4 on Linux; cwd md5: b3f3fd68ea; save: lashstab; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2021-01-20T06:01:20-0800] DFHack 0.47.04-r4 on Linux; cwd md5: b3f3fd68ea; save: lashstab; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2021-01-20T07:12:24-0800] DFHack 0.47.04-r4 on Linux; cwd md5: b3f3fd68ea; save: lashstab; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2021-01-20T07:12:24-0800] DFHack 0.47.04-r4 on Linux; cwd md5: b3f3fd68ea; save: lashstab; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2021-01-20T07:13:39-0800] DFHack 0.47.04-r4 on Linux; cwd md5: b3f3fd68ea; save: lashstab; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2021-01-20T07:13:39-0800] DFHack 0.47.04-r4 on Linux; cwd md5: b3f3fd68ea; save: lashstab; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2021-01-20T07:31:14-0800] DFHack 0.47.04-r4 on Linux; cwd md5: b3f3fd68ea; save: lashstab; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2021-01-20T07:31:14-0800] DFHack 0.47.04-r4 on Linux; cwd md5: b3f3fd68ea; save: lashstab; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2021-01-20T07:32:27-0800] DFHack 0.47.04-r4 on Linux; cwd md5: b3f3fd68ea; save: lashstab; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2021-01-20T07:32:27-0800] DFHack 0.47.04-r4 on Linux; cwd md5: b3f3fd68ea; save: lashstab; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2021-01-20T08:26:48-0800] DFHack 0.47.04-r4 on Linux; cwd md5: b3f3fd68ea; save: lashstab; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2021-01-20T08:26:48-0800] DFHack 0.47.04-r4 on Linux; cwd md5: b3f3fd68ea; save: lashstab; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2021-01-20T08:28:04-0800] DFHack 0.47.04-r4 on Linux; cwd md5: b3f3fd68ea; save: lashstab; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2021-01-20T08:28:04-0800] DFHack 0.47.04-r4 on Linux; cwd md5: b3f3fd68ea; save: lashstab; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2021-01-20T08:49:20-0800] DFHack 0.47.04-r4 on Linux; cwd md5: b3f3fd68ea; save: lashstab; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2021-01-20T08:49:20-0800] DFHack 0.47.04-r4 on Linux; cwd md5: b3f3fd68ea; save: lashstab; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
